DeepMimic: obs=128 act=29 clip=261.3s  max_steps=13067
iter    0 | ep_len   55.5 | ep_ret    37.08 | pi -0.087 | v 3.102 | ent 26.37 | std 0.601
iter    1 | ep_len   45.6 | ep_ret    30.05 | pi -0.071 | v 4.647 | ent 26.41 | std 0.602
iter    2 | ep_len   50.0 | ep_ret    32.60 | pi -0.206 | v 8.741 | ent 26.44 | std 0.602
iter    3 | ep_len   50.9 | ep_ret    32.91 | pi -0.143 | v 7.537 | ent 26.48 | std 0.603
iter    4 | ep_len   51.1 | ep_ret    33.04 | pi -0.172 | v 9.510 | ent 26.53 | std 0.604
iter    5 | ep_len   51.1 | ep_ret    33.79 | pi -0.135 | v 10.724 | ent 26.56 | std 0.605
iter    6 | ep_len   53.3 | ep_ret    35.35 | pi -0.161 | v 10.491 | ent 26.61 | std 0.606
iter    7 | ep_len   53.2 | ep_ret    35.05 | pi -0.142 | v 8.973 | ent 26.68 | std 0.607
iter    8 | ep_len   49.9 | ep_ret    33.01 | pi -0.227 | v 7.349 | ent 26.72 | std 0.608
iter    9 | ep_len   53.5 | ep_ret    34.88 | pi -0.197 | v 6.986 | ent 26.76 | std 0.609
iter   10 | ep_len   53.6 | ep_ret    35.13 | pi -0.084 | v 6.800 | ent 26.82 | std 0.610
iter   11 | ep_len   51.5 | ep_ret    33.45 | pi -0.091 | v 7.026 | ent 26.83 | std 0.610
iter   12 | ep_len   49.6 | ep_ret    32.15 | pi -0.214 | v 6.621 | ent 26.89 | std 0.612
iter   13 | ep_len   54.5 | ep_ret    35.48 | pi -0.189 | v 6.442 | ent 26.95 | std 0.613
iter   14 | ep_len   48.3 | ep_ret    31.49 | pi -0.102 | v 6.065 | ent 26.99 | std 0.614
iter   15 | ep_len   51.6 | ep_ret    33.27 | pi -0.206 | v 5.686 | ent 27.07 | std 0.616
iter   16 | ep_len   57.0 | ep_ret    36.91 | pi -0.071 | v 6.367 | ent 27.14 | std 0.617
iter   17 | ep_len   51.2 | ep_ret    32.76 | pi -0.179 | v 3.839 | ent 27.19 | std 0.618
iter   18 | ep_len   49.7 | ep_ret    31.89 | pi -0.071 | v 3.318 | ent 27.30 | std 0.620
iter   19 | ep_len   56.1 | ep_ret    36.32 | pi -0.087 | v 5.484 | ent 27.34 | std 0.621
iter   20 | ep_len   50.8 | ep_ret    32.27 | pi -0.165 | v 4.234 | ent 27.40 | std 0.623
iter   21 | ep_len   52.8 | ep_ret    33.94 | pi -0.136 | v 4.662 | ent 27.49 | std 0.625
iter   22 | ep_len   52.1 | ep_ret    33.08 | pi -0.144 | v 3.152 | ent 27.56 | std 0.626
iter   23 | ep_len   52.0 | ep_ret    33.72 | pi -0.168 | v 3.192 | ent 27.67 | std 0.628
iter   24 | ep_len   54.4 | ep_ret    34.81 | pi -0.256 | v 3.258 | ent 27.77 | std 0.631
iter   25 | ep_len   49.6 | ep_ret    31.66 | pi -0.118 | v 4.083 | ent 27.85 | std 0.632
iter   26 | ep_len   50.4 | ep_ret    31.71 | pi -0.130 | v 2.603 | ent 27.93 | std 0.634
iter   27 | ep_len   52.1 | ep_ret    32.34 | pi -0.118 | v 3.249 | ent 27.99 | std 0.635
iter   28 | ep_len   51.9 | ep_ret    33.07 | pi -0.040 | v 2.921 | ent 28.07 | std 0.637
iter   29 | ep_len   54.9 | ep_ret    34.57 | pi -0.089 | v 4.072 | ent 28.20 | std 0.640
iter   30 | ep_len   52.5 | ep_ret    32.73 | pi -0.172 | v 3.591 | ent 28.27 | std 0.641
iter   31 | ep_len   50.5 | ep_ret    31.30 | pi -0.139 | v 2.694 | ent 28.39 | std 0.644
iter   32 | ep_len   51.4 | ep_ret    31.89 | pi -0.189 | v 2.532 | ent 28.48 | std 0.646
iter   33 | ep_len   52.6 | ep_ret    32.61 | pi -0.117 | v 2.057 | ent 28.55 | std 0.648
iter   34 | ep_len   51.7 | ep_ret    32.16 | pi -0.248 | v 3.042 | ent 28.64 | std 0.650
iter   35 | ep_len   49.4 | ep_ret    30.15 | pi -0.203 | v 3.305 | ent 28.72 | std 0.652
iter   36 | ep_len   54.1 | ep_ret    33.41 | pi -0.155 | v 2.634 | ent 28.80 | std 0.653
iter   37 | ep_len   55.3 | ep_ret    34.40 | pi -0.046 | v 1.778 | ent 28.94 | std 0.657
iter   38 | ep_len   49.9 | ep_ret    30.65 | pi -0.159 | v 2.543 | ent 29.03 | std 0.659
iter   39 | ep_len   53.5 | ep_ret    32.74 | pi -0.085 | v 2.695 | ent 29.10 | std 0.660
iter   40 | ep_len   48.7 | ep_ret    29.43 | pi -0.273 | v 2.912 | ent 29.17 | std 0.662
iter   41 | ep_len   52.5 | ep_ret    32.39 | pi -0.132 | v 1.971 | ent 29.30 | std 0.665
iter   42 | ep_len   49.3 | ep_ret    30.05 | pi +0.010 | v 2.542 | ent 29.43 | std 0.668
iter   43 | ep_len   52.0 | ep_ret    31.73 | pi -0.229 | v 2.959 | ent 29.49 | std 0.669
iter   44 | ep_len   50.3 | ep_ret    30.84 | pi -0.177 | v 3.529 | ent 29.57 | std 0.671
iter   45 | ep_len   47.7 | ep_ret    29.09 | pi -0.190 | v 2.041 | ent 29.67 | std 0.673
iter   46 | ep_len   48.8 | ep_ret    29.27 | pi +0.010 | v 1.957 | ent 29.72 | std 0.675
iter   47 | ep_len   56.4 | ep_ret    33.97 | pi -0.144 | v 2.874 | ent 29.80 | std 0.676
iter   48 | ep_len   50.2 | ep_ret    29.91 | pi -0.155 | v 2.052 | ent 29.91 | std 0.679
iter   49 | ep_len   49.9 | ep_ret    30.03 | pi -0.098 | v 1.700 | ent 30.04 | std 0.682
iter   50 | ep_len   51.9 | ep_ret    30.80 | pi -0.062 | v 1.977 | ent 30.14 | std 0.684
iter   51 | ep_len   56.5 | ep_ret    34.39 | pi -0.143 | v 2.515 | ent 30.27 | std 0.687
iter   52 | ep_len   50.4 | ep_ret    30.20 | pi -0.206 | v 2.739 | ent 30.34 | std 0.689
